,station_from,station_to,line,direction,distance_kms,un-impeded_running_time,running_time_av
0,Harrow & Wealdstone,Kenton,Bakerloo,Southbound,1.74,2.23,2.5
1,Kenton,South Kenton,Bakerloo,Southbound,1.4,1.88,2.0
2,South Kenton,North Wembley,Bakerloo,Southbound,0.9,1.5,1.5
3,North Wembley,Wembley Central,Bakerloo,Southbound,1.27,1.92,2.06
4,Wembley Central,Stonebridge Park,Bakerloo,Southbound,1.71,2.23,3.13
5,Stonebridge Park,Harlesden,Bakerloo,Southbound,1.53,2.13,2.4
6,Harlesden,Willesden Junction,Bakerloo,Southbound,1.05,1.65,2.23
7,Willesden Junction,Kensal Green,Bakerloo,Southbound,1.5,2.47,2.5
8,Kensal Green,Queens Park,Bakerloo,Southbound,1.32,2.65,4.72
9,Queens Park,Kilburn Park,Bakerloo,Southbound,0.79,1.42,1.5
10,Kilburn Park,Maida Vale,Bakerloo,Southbound,0.88,1.48,2.0
11,Maida Vale,Warwick Avenue,Bakerloo,Southbound,0.79,1.5,1.5
12,Warwick Avenue,Paddington,Bakerloo,Southbound,0.88,1.58,2.0
13,Paddington,Edgware Road,Bakerloo,Southbound,0.72,1.57,1.5
14,Edgware Road,Marylebone,Bakerloo,Southbound,0.45,1.12,1.5
15,Marylebone,Baker Street,Bakerloo,Southbound,0.5,1.17,1.5
16,Baker Street,Regents Park,Bakerloo,Southbound,0.88,1.68,2.0
17,Regents Park,Oxford Circus,Bakerloo,Southbound,0.87,1.85,2.0
18,Oxford Circus,Piccadilly Circus,Bakerloo,Southbound,0.97,1.95,2.48
19,Piccadilly Circus,Charing Cross,Bakerloo,Southbound,0.55,1.35,1.5
20,Charing Cross,Embankment,Bakerloo,Southbound,0.37,0.95,1.5
21,Embankment,Waterloo,Bakerloo,Southbound,0.71,1.43,1.5
22,Waterloo,Lambeth North,Bakerloo,Southbound,0.63,1.45,2.0
23,Lambeth North,Elephant & Castle,Bakerloo,Southbound,0.82,2.57,2.5
24,Elephant & Castle,Lambeth North,Bakerloo,Northbound,0.82,2.13,2.0
25,Lambeth North,Waterloo,Bakerloo,Northbound,0.63,1.45,2.06
26,Waterloo,Embankment,Bakerloo,Northbound,0.71,1.22,1.5
27,Embankment,Charing Cross,Bakerloo,Northbound,0.37,0.97,1.0
28,Charing Cross,Piccadilly Circus,Bakerloo,Northbound,0.55,1.6,2.0
29,Piccadilly Circus,Oxford Circus,Bakerloo,Northbound,0.97,2.02,2.19
30,Oxford Circus,Regents Park,Bakerloo,Northbound,0.87,1.72,2.0
31,Regents Park,Baker Street,Bakerloo,Northbound,0.88,1.65,2.0
32,Baker Street,Marylebone,Bakerloo,Northbound,0.5,1.08,1.5
33,Marylebone,Edgware Road,Bakerloo,Northbound,0.45,1.08,1.0
34,Edgware Road,Paddington,Bakerloo,Northbound,0.72,1.62,2.0
35,Paddington,Warwick Avenue,Bakerloo,Northbound,0.88,1.63,2.0
36,Warwick Avenue,Maida Vale,Bakerloo,Northbound,0.79,1.5,1.5
37,Maida Vale,Kilburn Park,Bakerloo,Northbound,0.88,1.48,1.5
38,Kilburn Park,Queens Park,Bakerloo,Northbound,0.79,2.1,2.89
39,Queens Park,Kensal Green,Bakerloo,Northbound,1.32,2.83,2.72
40,Kensal Green,Willesden Junction,Bakerloo,Northbound,1.5,2.53,3.15
41,Willesden Junction,Harlesden,Bakerloo,Northbound,1.05,1.63,2.0
42,Harlesden,Stonebridge Park,Bakerloo,Northbound,1.53,2.02,2.53
43,Stonebridge Park,Wembley Central,Bakerloo,Northbound,1.71,2.42,3.17
44,Wembley Central,North Wembley,Bakerloo,Northbound,1.27,1.95,2.0
45,North Wembley,South Kenton,Bakerloo,Northbound,0.9,1.58,1.5
46,South Kenton,Kenton,Bakerloo,Northbound,1.4,2.0,2.0
47,Kenton,Harrow & Wealdstone,Bakerloo,Northbound,1.74,2.38,3.0
48,West Ruislip,Ruislip Gardens,Central,Eastbound,2.04,2.28,2.54
49,Ruislip Gardens,South Ruislip,Central,Eastbound,0.86,1.3,1.5
50,South Ruislip,Northolt,Central,Eastbound,2.28,2.23,2.54
51,Northolt,Greenford,Central,Eastbound,1.78,1.93,2.0
52,Greenford,Perivale,Central,Eastbound,1.69,1.85,2.29
53,Perivale,Hanger Lane,Central,Eastbound,2.1,2.1,2.26
54,Hanger Lane,North Acton,Central,Eastbound,2.49,2.85,3.46
55,Ealing Broadway,West Acton,Central,Eastbound,1.53,2.28,2.25
56,West Acton,North Acton,Central,Eastbound,1.77,2.3,3.06
57,North Acton,East Acton,Central,Eastbound,1.11,1.5,1.75
58,East Acton,White City,Central,Eastbound,2.06,2.57,3.5
59,White City,Shepherds Bush,Central,Eastbound,1.16,2.68,2.75
60,Shepherds Bush,Holland Park,Central,Eastbound,0.87,1.37,1.75
61,Holland Park,Notting Hill Gate,Central,Eastbound,0.61,1.08,1.5
62,Notting Hill Gate,Queensway,Central,Eastbound,0.69,1.17,1.5
63,Queensway,Lancaster Gate,Central,Eastbound,0.9,1.35,1.5
64,Lancaster Gate,Marble Arch,Central,Eastbound,1.2,1.92,2.6
65,Marble Arch,Bond Street,Central,Eastbound,0.55,1.0,1.25
66,Bond Street,Oxford Circus,Central,Eastbound,0.66,1.1,1.5
67,Oxford Circus,Tottenham Court Road,Central,Eastbound,0.58,0.98,1.5
68,Tottenham Court Road,Holborn,Central,Eastbound,0.88,1.63,2.11
69,Holborn,Chancery Lane,Central,Eastbound,0.4,0.87,1.0
70,Chancery Lane,St Pauls,Central,Eastbound,1.03,1.52,2.0
71,St Pauls,Bank,Central,Eastbound,0.74,1.62,2.0
72,Bank,Liverpool Street,Central,Eastbound,0.74,1.62,2.25
73,Liverpool Street,Bethnal Green,Central,Eastbound,2.27,2.6,2.75
74,Bethnal Green,Mile End,Central,Eastbound,1.64,1.98,2.25
75,Mile End,Stratford,Central,Eastbound,2.83,3.18,3.34
76,Stratford,Leyton,Central,Eastbound,2.09,2.4,2.75
77,Leyton,Leytonstone,Central,Eastbound,1.62,2.02,2.78
78,Leytonstone,Wanstead,Central,Eastbound,1.72,2.15,2.25
79,Wanstead,Redbridge,Central,Eastbound,1.22,1.62,2.0
80,Redbridge,Gants Hill,Central,Eastbound,1.27,1.65,1.75
81,Gants Hill,Newbury Park,Central,Eastbound,2.36,2.68,3.02
82,Newbury Park,Barkingside,Central,Eastbound,1.11,1.55,1.75
83,Barkingside,Fairlop,Central,Eastbound,1.22,1.57,1.82
84,Fairlop,Hainault,Central,Eastbound,0.75,2.93,4.0
85,Leytonstone,Snaresbrook,Central,Eastbound,1.57,1.8,2.25
86,Snaresbrook,South Woodford,Central,Eastbound,1.29,1.62,1.75
87,South Woodford,Woodford,Central,Eastbound,1.8,1.9,2.3
88,Roding Valley,Woodford,Central,Inner,1.33,2.03,2.5
89,Chigwell,Roding Valley,Central,Inner,2.28,2.45,2.64
90,Grange Hill,Chigwell,Central,Inner,1.32,1.63,2.0
91,Hainault,Grange Hill,Central,Inner,1.12,1.73,1.84
92,Woodford,Buckhurst Hill,Central,Eastbound,2.31,2.28,2.5
93,Buckhurst Hill,Loughton,Central,Eastbound,1.83,2.35,2.62
94,Loughton,Debden,Central,Eastbound,2.02,2.13,2.24
95,Debden,Theydon Bois,Central,Eastbound,3.34,3.0,3.0
96,Theydon Bois,Epping,Central,Eastbound,2.54,2.6,2.76
97,Epping,Theydon Bois,Central,Westbound,2.54,2.37,2.5
98,Theydon Bois,Debden,Central,Westbound,3.34,2.88,3.34
99,Debden,Loughton,Central,Westbound,2.02,2.67,3.18
100,Loughton,Buckhurst Hill,Central,Westbound,1.83,2.07,2.51
101,Buckhurst Hill,Woodford,Central,Westbound,2.31,2.32,2.53
102,Grange Hill,Hainault,Central,Outer,1.12,1.7,4.8
103,Chigwell,Grange Hill,Central,Outer,1.32,1.73,2.36
104,Roding Valley,Chigwell,Central,Outer,2.28,2.13,2.25
105,Woodford,Roding Valley,Central,Outer,1.33,2.18,2.51
106,Woodford,South Woodford,Central,Westbound,1.8,1.95,2.25
107,South Woodford,Snaresbrook,Central,Westbound,1.29,1.6,1.75
108,Snaresbrook,Leytonstone,Central,Westbound,1.57,2.05,3.4
109,Hainault,Fairlop,Central,Westbound,0.75,1.82,2.0
110,Fairlop,Barkingside,Central,Westbound,1.22,1.57,1.75
111,Barkingside,Newbury Park,Central,Westbound,1.11,1.58,2.3
112,Newbury Park,Gants Hill,Central,Westbound,2.36,2.73,3.0
113,Gants Hill,Redbridge,Central,Westbound,1.27,1.7,2.0
114,Redbridge,Wanstead,Central,Westbound,1.22,1.58,1.75
