,Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
0,Bakerloo,Southbound,Harrow & Wealdstone,Kenton,1.74,2.23,2.5,2.5
1,Bakerloo,Southbound,Kenton,South Kenton,1.4,1.88,2.0,2.0
2,Bakerloo,Southbound,South Kenton,North Wembley,0.9,1.5,1.5,1.5
3,Bakerloo,Southbound,North Wembley,Wembley Central,1.27,1.92,2.06,2.06
4,Bakerloo,Southbound,Wembley Central,Stonebridge Park,1.71,2.23,3.13,3.13
5,Bakerloo,Southbound,Stonebridge Park,Harlesden,1.53,2.13,2.4,2.4
6,Bakerloo,Southbound,Harlesden,Willesden Junction,1.05,1.65,2.23,2.23
7,Bakerloo,Southbound,Willesden Junction,Kensal Green,1.5,2.47,2.5,2.5
8,Bakerloo,Southbound,Kensal Green,Queens Park,1.32,2.65,4.72,4.72
9,Bakerloo,Southbound,Queens Park,Kilburn Park,0.79,1.42,1.5,1.5
10,Bakerloo,Southbound,Kilburn Park,Maida Vale,0.88,1.48,2.0,2.0
11,Bakerloo,Southbound,Maida Vale,Warwick Avenue,0.79,1.5,1.5,1.5
12,Bakerloo,Southbound,Warwick Avenue,Paddington,0.88,1.58,2.0,2.0
13,Bakerloo,Southbound,Paddington,Edgware Road,0.72,1.57,1.5,1.5
14,Bakerloo,Southbound,Edgware Road,Marylebone,0.45,1.12,1.5,1.5
15,Bakerloo,Southbound,Marylebone,Baker Street,0.5,1.17,1.5,1.5
16,Bakerloo,Southbound,Baker Street,Regents Park,0.88,1.68,2.0,2.0
17,Bakerloo,Southbound,Regents Park,Oxford Circus,0.87,1.85,2.0,2.0
18,Bakerloo,Southbound,Oxford Circus,Piccadilly Circus,0.97,1.95,2.48,2.48
19,Bakerloo,Southbound,Piccadilly Circus,Charing Cross,0.55,1.35,1.5,1.5
20,Bakerloo,Southbound,Charing Cross,Embankment,0.37,0.95,1.5,1.5
21,Bakerloo,Southbound,Embankment,Waterloo,0.71,1.43,1.5,1.5
22,Bakerloo,Southbound,Waterloo,Lambeth North,0.63,1.45,2.0,2.0
23,Bakerloo,Southbound,Lambeth North,Elephant & Castle,0.82,2.57,2.5,2.5
24,Bakerloo,Northbound,Elephant & Castle,Lambeth North,0.82,2.13,2.0,2.0
25,Bakerloo,Northbound,Lambeth North,Waterloo,0.63,1.45,2.06,2.06
26,Bakerloo,Northbound,Waterloo,Embankment,0.71,1.22,1.5,1.5
27,Bakerloo,Northbound,Embankment,Charing Cross,0.37,0.97,1.0,1.0
28,Bakerloo,Northbound,Charing Cross,Piccadilly Circus,0.55,1.6,2.0,2.0
29,Bakerloo,Northbound,Piccadilly Circus,Oxford Circus,0.97,2.02,2.19,2.19
30,Bakerloo,Northbound,Oxford Circus,Regents Park,0.87,1.72,2.0,2.0
31,Bakerloo,Northbound,Regents Park,Baker Street,0.88,1.65,2.0,2.0
32,Bakerloo,Northbound,Baker Street,Marylebone,0.5,1.08,1.5,1.5
33,Bakerloo,Northbound,Marylebone,Edgware Road,0.45,1.08,1.0,1.0
34,Bakerloo,Northbound,Edgware Road,Paddington,0.72,1.62,2.0,2.0
35,Bakerloo,Northbound,Paddington,Warwick Avenue,0.88,1.63,2.0,2.0
36,Bakerloo,Northbound,Warwick Avenue,Maida Vale,0.79,1.5,1.5,1.5
37,Bakerloo,Northbound,Maida Vale,Kilburn Park,0.88,1.48,1.5,1.5
38,Bakerloo,Northbound,Kilburn Park,Queens Park,0.79,2.1,2.89,2.89
39,Bakerloo,Northbound,Queens Park,Kensal Green,1.32,2.83,2.72,2.72
40,Bakerloo,Northbound,Kensal Green,Willesden Junction,1.5,2.53,3.15,3.15
41,Bakerloo,Northbound,Willesden Junction,Harlesden,1.05,1.63,2.0,2.0
42,Bakerloo,Northbound,Harlesden,Stonebridge Park,1.53,2.02,2.53,2.53
43,Bakerloo,Northbound,Stonebridge Park,Wembley Central,1.71,2.42,3.17,3.17
44,Bakerloo,Northbound,Wembley Central,North Wembley,1.27,1.95,2.0,2.0
45,Bakerloo,Northbound,North Wembley,South Kenton,0.9,1.58,1.5,1.5
46,Bakerloo,Northbound,South Kenton,Kenton,1.4,2.0,2.0,2.0
47,Bakerloo,Northbound,Kenton,Harrow & Wealdstone,1.74,2.38,3.0,3.0
48,Central,Eastbound,West Ruislip,Ruislip Gardens,2.04,2.28,2.57,2.5
49,Central,Eastbound,Ruislip Gardens,South Ruislip,0.86,1.3,1.5,1.5
50,Central,Eastbound,South Ruislip,Northolt,2.28,2.23,2.58,2.5
51,Central,Eastbound,Northolt,Greenford,1.78,1.93,2.0,2.0
52,Central,Eastbound,Greenford,Perivale,1.69,1.85,2.33,2.25
53,Central,Eastbound,Perivale,Hanger Lane,2.1,2.1,2.25,2.26
54,Central,Eastbound,Hanger Lane,North Acton,2.49,2.85,3.44,3.48
55,Central,Eastbound,Ealing Broadway,West Acton,1.53,2.28,2.25,2.25
56,Central,Eastbound,West Acton,North Acton,1.77,2.3,2.86,3.26
57,Central,Eastbound,North Acton,East Acton,1.11,1.5,1.75,1.75
58,Central,Eastbound,East Acton,White City,2.06,2.57,3.28,3.71
59,Central,Eastbound,White City,Shepherds Bush,1.16,2.68,2.75,2.75
60,Central,Eastbound,Shepherds Bush,Holland Park,0.87,1.37,1.75,1.75
61,Central,Eastbound,Holland Park,Notting Hill Gate,0.61,1.08,1.5,1.5
62,Central,Eastbound,Notting Hill Gate,Queensway,0.69,1.17,1.5,1.5
63,Central,Eastbound,Queensway,Lancaster Gate,0.9,1.35,1.5,1.5
64,Central,Eastbound,Lancaster Gate,Marble Arch,1.2,1.92,2.71,2.5
65,Central,Eastbound,Marble Arch,Bond Street,0.55,1.0,1.25,1.25
66,Central,Eastbound,Bond Street,Oxford Circus,0.66,1.1,1.5,1.5
67,Central,Eastbound,Oxford Circus,Tottenham Court Road,0.58,0.98,1.5,1.5
68,Central,Eastbound,Tottenham Court Road,Holborn,0.88,1.63,2.21,2.01
69,Central,Eastbound,Holborn,Chancery Lane,0.4,0.87,1.0,1.0
70,Central,Eastbound,Chancery Lane,St Pauls,1.03,1.52,2.0,2.0
71,Central,Eastbound,St Pauls,Bank,0.74,1.62,2.0,2.0
72,Central,Eastbound,Bank,Liverpool Street,0.74,1.62,2.25,2.25
73,Central,Eastbound,Liverpool Street,Bethnal Green,2.27,2.6,2.75,2.75
74,Central,Eastbound,Bethnal Green,Mile End,1.64,1.98,2.25,2.25
75,Central,Eastbound,Mile End,Stratford,2.83,3.18,3.42,3.25
76,Central,Eastbound,Stratford,Leyton,2.09,2.4,2.75,2.75
77,Central,Eastbound,Leyton,Leytonstone,1.62,2.02,2.81,2.76
78,Central,Eastbound,Leytonstone,Wanstead,1.72,2.15,2.25,2.25
79,Central,Eastbound,Wanstead,Redbridge,1.22,1.62,2.0,2.0
80,Central,Eastbound,Redbridge,Gants Hill,1.27,1.65,1.75,1.75
81,Central,Eastbound,Gants Hill,Newbury Park,2.36,2.68,3.06,2.98
82,Central,Eastbound,Newbury Park,Barkingside,1.11,1.55,1.75,1.75
83,Central,Eastbound,Barkingside,Fairlop,1.22,1.57,1.84,1.79
84,Central,Eastbound,Fairlop,Hainault,0.75,2.93,3.89,4.12
85,Central,Eastbound,Leytonstone,Snaresbrook,1.57,1.8,2.25,2.25
86,Central,Eastbound,Snaresbrook,South Woodford,1.29,1.62,1.75,1.75
87,Central,Eastbound,South Woodford,Woodford,1.8,1.9,2.34,2.26
88,Central,Inner,Roding Valley,Woodford,1.33,2.03,2.78,2.22
89,Central,Inner,Chigwell,Roding Valley,2.28,2.45,2.77,2.5
90,Central,Inner,Grange Hill,Chigwell,1.32,1.63,2.0,2.0
91,Central,Inner,Hainault,Grange Hill,1.12,1.73,1.89,1.79
92,Central,Eastbound,Woodford,Buckhurst Hill,2.31,2.28,2.5,2.5
93,Central,Eastbound,Buckhurst Hill,Loughton,1.83,2.35,2.7,2.53
94,Central,Eastbound,Loughton,Debden,2.02,2.13,2.22,2.25
95,Central,Eastbound,Debden,Theydon Bois,3.34,3.0,3.0,3.0
96,Central,Eastbound,Theydon Bois,Epping,2.54,2.6,2.76,2.75
97,Central,Westbound,Epping,Theydon Bois,2.54,2.37,2.5,2.5
98,Central,Westbound,Theydon Bois,Debden,3.34,2.88,3.43,3.25
99,Central,Westbound,Debden,Loughton,2.02,2.67,2.97,3.4
100,Central,Westbound,Loughton,Buckhurst Hill,1.83,2.07,2.53,2.5
101,Central,Westbound,Buckhurst Hill,Woodford,2.31,2.32,2.53,2.53
102,Central,Outer,Grange Hill,Hainault,1.12,1.7,5.28,4.32
103,Central,Outer,Chigwell,Grange Hill,1.32,1.73,2.61,2.11
104,Central,Outer,Roding Valley,Chigwell,2.28,2.13,2.25,2.25
105,Central,Outer,Woodford,Roding Valley,1.33,2.18,2.53,2.5
106,Central,Westbound,Woodford,South Woodford,1.8,1.95,2.25,2.25
107,Central,Westbound,South Woodford,Snaresbrook,1.29,1.6,1.75,1.75
108,Central,Westbound,Snaresbrook,Leytonstone,1.57,2.05,3.46,3.33
109,Central,Westbound,Hainault,Fairlop,0.75,1.82,2.0,2.0
110,Central,Westbound,Fairlop,Barkingside,1.22,1.57,1.75,1.75
111,Central,Westbound,Barkingside,Newbury Park,1.11,1.58,2.25,2.35
112,Central,Westbound,Newbury Park,Gants Hill,2.36,2.73,3.0,3.0
113,Central,Westbound,Gants Hill,Redbridge,1.27,1.7,2.0,2.0
114,Central,Westbound,Redbridge,Wanstead,1.22,1.58,1.75,1.75
115,Central,Westbound,Wanstead,Leytonstone,1.72,2.17,3.05,3.64
116,Central,Westbound,Leytonstone,Leyton,1.62,2.02,2.25,2.25
117,Central,Westbound,Leyton,Stratford,2.09,2.43,2.96,2.75
118,Central,Westbound,Stratford,Mile End,2.83,3.03,3.0,3.0
119,Central,Westbound,Mile End,Bethnal Green,1.64,1.97,2.47,2.25
120,Central,Westbound,Bethnal Green,Liverpool Street,2.27,2.77,3.48,3.25
121,Central,Westbound,Liverpool Street,Bank,0.74,1.65,2.0,2.0
