STATION NAME: ,"DETAILS OF MAXIMUM INTERCHANGE VALUES BETWEEN LINES (where appropriate) � all values apply in both directions. However, in some cases there may be lower values according to station layout."
Abbey Road,
Acton Central,
Acton Town,District <> Piccadilly line: 2 minutes
Aldgate,Connections between Circle and Metropolitan line trains: 4 minutes
Aldgate East,Connections between District and Hammersmith & City line trains: 2 minutes.
All Saints,
Alperton,
Amersham,Connections between Metropolitan and Chiltern Railways: 3 minutes
Anerley,Connections between London Overground and Southern: 4 minutes
,
Angel,
Archway,
Arnos Grove,
Arsenal,
Baker Street,Bakerloo to Circle: 8 minutes
Baker Street,Bakerloo to Hammersmith & City: 8 minutes
Baker Street,Bakerloo to Jubilee: 2 minutes
Baker Street,Bakerloo to Metropolitan: 3 minutes
Baker Street,Circle to Hammersmith & City: 2 minutes
Baker Street,Circle to Jubilee: 8 minutes
Baker Street,Circle to Metropolitan: 8 minutes
Baker Street,Hammersmith & City to Jubilee: 8 minutes
Baker Street,Hammersmith & City to Metropolitan: 5 minutes
Baker Street,Jubilee to Metropolitan: 3 minutes
,
Balham,Northern to National Rail: 8 minutes
,
"Bank, including Monument interchange values",Central to Circle: 7 minutes
"Bank, including Monument interchange values",Central to District: 7 minutes
"Bank, including Monument interchange values",Central to DLR: 3 minutes
"Bank, including Monument interchange values",Central to Northern: 4 minutes
"Bank, including Monument interchange values",Central to Waterloo & City: 4.5 minutes
"Bank, including Monument interchange values",Circle to DLR: 4 minutes
"Bank, including Monument interchange values",Circle to Northern: 4 minutes
"Bank, including Monument interchange values",Circle to Waterloo & City: 10 minutes
"Bank, including Monument interchange values",District to DLR: 4 minutes
"Bank, including Monument interchange values",District to Northern: 4 minutes
"Bank, including Monument interchange values",District to Waterloo & City: 10 minutes
"Bank, including Monument interchange values",DLR to Northern: 3 minutes
"Bank, including Monument interchange values",DLR to Waterloo & City: 6 minutes
"Bank, including Monument interchange values",Northern to Waterloo & City: 7 minutes
,
Barbican ,Circle to Hammersmith & City: 2 minutes
Barbican ,Circle to Metropolitan: 2 minutes
Barbican ,Hammersmith & City to Metropolitan: 2 minutes
Barking,District to c2c: 4 minutes
Barking,District to Hammersmith & City: 4 minutes
Barking,District to London Overground: 4 minutes
Barking,C2C to Hammersmith & City: 4 minutes
Barking,C2C to London Overground: 4 minutes
