,station,interchange
0,Acton Town,District <> Piccadilly line: 2 minutes
1,Aldgate,Connections between Circle and Metropolitan line trains: 4 minutes
2,Aldgate East,Connections between District and Hammersmith & City line trains: 2 minutes.
3,Amersham,Connections between Metropolitan and Chiltern Railways: 3 minutes
4,Anerley,Connections between London Overground and Southern: 4 minutes
5,Baker Street,Bakerloo to Circle: 8 minutes
6,Baker Street,Bakerloo to Hammersmith & City: 8 minutes
7,Baker Street,Bakerloo to Jubilee: 2 minutes
8,Baker Street,Bakerloo to Metropolitan: 3 minutes
9,Baker Street,Circle to Hammersmith & City: 2 minutes
10,Baker Street,Circle to Jubilee: 8 minutes
11,Baker Street,Circle to Metropolitan: 8 minutes
12,Baker Street,Hammersmith & City to Jubilee: 8 minutes
13,Baker Street,Hammersmith & City to Metropolitan: 5 minutes
14,Baker Street,Jubilee to Metropolitan: 3 minutes
15,Balham,Northern to National Rail: 8 minutes
16,Bank,Central to Circle: 7 minutes
17,Bank,Central to District: 7 minutes
18,Bank,Central to DLR: 3 minutes
19,Bank,Central to Northern: 4 minutes
20,Bank,Central to Waterloo & City: 4.5 minutes
21,Bank,Circle to DLR: 4 minutes
22,Bank,Circle to Northern: 4 minutes
23,Bank,Circle to Waterloo & City: 10 minutes
24,Bank,District to DLR: 4 minutes
25,Bank,District to Northern: 4 minutes
26,Bank,District to Waterloo & City: 10 minutes
27,Bank,DLR to Northern: 3 minutes
28,Bank,DLR to Waterloo & City: 6 minutes
29,Bank,Northern to Waterloo & City: 7 minutes
30,Barbican,Circle to Hammersmith & City: 2 minutes
31,Barbican,Circle to Metropolitan: 2 minutes
32,Barbican,Hammersmith & City to Metropolitan: 2 minutes
33,Barking,District to c2c: 4 minutes
34,Barking,District to Hammersmith & City: 4 minutes
35,Barking,District to London Overground: 4 minutes
36,Barking,C2C to Hammersmith & City: 4 minutes
37,Barking,C2C to London Overground: 4 minutes
38,Barking,London Overground to Hammersmith & City: 4 minutes
39,Barons Court,Connections between District and Piccadilly line trains: 4 minutes
40,Bayswater,Connections between Circle and District line trains: 4 minutes
41,Blackhorse Road,London Overground to Victoria: 6 minutes
42,Bond Street,Central to Jubilee: 4 minutes
43,Bow Church,Step-free access via lift (one on each platform)
44,Bow Road,District to Hammersmith & City: 2 minutes
45,Brockley,Connections between London Overground and Southern: 4 minutes
46,Bromley By Bow,District to Hammersmith & City: 4 minutes
47,Bushey,London Overground to London Midland: 4 minutes
48,Camden Town,Interchange between branches: 4 minutes
49,Canada Water,Jubilee to London Overground: 2.5 minutes
50,Canary Wharf London Underground,Interchange with Heron Quays DLR: 5 minutes
51,Canning Town,DLR to Jubilee: 4 minutes
52,Canning Town,DLR between branches: 5 minutes
53,Cannon Street,Circle to District: 3 minutes
54,Cannon Street,Circle to National Rail: 7 minutes
55,Cannon Street,District to National Rail: 7 minutes
56,Chalfont & Latimer,Chiltern to Metropolitan: 4 minutes
57,Charing Cross,Bakerloo to Northern: 7 minutes
58,Charing Cross,Bakerloo to National Rail: 10 minutes
59,Charing Cross,Northern to National Rail: 7 minutes
60,Chorleywood,Chiltern Railways to Metropolitan: 3 minutes
61,Clapham Junction,London Overground to Southern: 4 minutes
62,Clapham Junction,London Overground to South West Trains (Richmond): 5 minutes
63,Clapham Junction,London Overground to South West Trains (Wimbledon): 5 minutes
64,Clapham Junction,Southern to South West Trains (Richmond): 4 minutes
65,Clapham Junction,Southern to South West Trains (Wimbledon): 3 minutes
66,Clapham Junction,South West Trains (Richmond) to South West Trains (Wimbledon): 5 minutes
67,Crystal Palace,London Overground to Southern: 4 minutes
68,Crystal Palace,"Southern, between branches: 4 minutes"
69,Ealing Broadway,Central to District: 4 minutes
70,Ealing Broadway,Central to First Great Western: 5 minutes
71,Ealing Broadway,Central to Heathrow Connect: 5 minutes
72,Ealing Broadway,District to First Great Western: 5 minutes
73,Ealing Broadway,District to Heathrow Connect: 5 minutes
74,Ealing Common,Connections between District and Piccadilly line: 4 minutes
75,Earls Court,Connections between District and Piccadilly line: 3 minutes (2 minutes between different District services)
76,Eastcote,Connections between Metropolitan and Piccadilly line: 4 minutes
77,East Ham,Connections between District and Hammersmith & City line: 4 minutes
78,Edgware Road,"Connections between District, Hammersmith & City Circle line trains: 4 minutes"
79,Elephant & Castle London Underground,Bakerloo to Northern: 2 minutes
80,Elverson Road,Step-free level access available.
81,Embankment,Bakerloo to Circle: 5 minutes
82,Embankment,Bakerloo to District: 5 minutes
83,Embankment,Bakerloo to Northern: 5 minutes
84,Embankment,Circle to District: 4 minutes
85,Embankment,Circle to Northern: 5 minutes
86,Embankment,District to Northern: 5 minutes
87,Euston,Northern to Victoria: 5 minutes
88,Euston,Northern to London Overground/NR: 10 minutes
89,Euston,Victoria to London Overground/NR: 9 minutes
90,Euston Square,"Connections between Metropolitan, Hammersmith & City, Circle line trains: 2 minutes"
91,Farringdon,"Connections between Metropolitan, Hammersmith & City and Circle line trains: 4 minutes"
92,Farringdon,"Connections between Metropolitan, Hammersmith & City and Circle line trains and First Capital Connect: 5 minutes"
93,Finchley Central,Connections between High Barnet and trains terminating at Mill Hill East: 3 minutes
94,Finchley Road,Connections between Jubilee and Metropolitan line trains: 3 minutes
95,Finsbury Park,Connections between Piccadilly and Victoria line trains: 4 minutes
96,Finsbury Park,Connections between Piccadilly and First Capital Connect: 5 minutes
97,Finsbury Park,Connections between Victoria and First Capital Connect: 5 minutes
98,Forest Hill,Connections between London Overground and Southern: 4 minutes
99,Gloucester Road,Circle to District: 4 minutes
100,Gloucester Road,Circle to Piccadilly: 7 minutes
101,Gloucester Road,District to Piccadilly: 7 minutes
102,Gospel Oak,Interchange between Barking branch and North London Line: 5 minutes
103,Great Portland Street,"Connections between Metropolitan, Hammersmith & City and Circle line trains: 4 minutes"
104,Greenford,Connections between Central line and First Great Western services: 4 minutes
105,Green Park,Jubilee to Piccadilly: 5.5 minutes
106,Green Park,Jubilee to Victoria: 4.5 minutes
107,Green Park,Piccadilly to Victoria: 4 minutes
108,Greenwich,DLR to Southeastern: 5 minutes
109,Gunnersbury,Connections between District line and London Overground services: 4 minutes
110,Hammersmith,District to Piccadilly: 4 minutes
111,Harlesden,Connections between Bakerloo line and London Overground services: 5 minutes
112,Harringay Green Lanes,Step-free access via ramps between street and platforms.
113,Harrow & Wealdstone,Bakerloo to London Overground and all National Rail: 5 minutes
114,Harrow & Wealdstone,London Overground to National Rail: 5 minutes
115,Harrow On The Hill,Chiltern Railways to Metropolitan: 4 minutes
116,Harrow On The Hill,Metropolitan (different branches): 4 minutes
117,Hatton Cross,Piccadilly (different branches): 2 minutes
118,Heathrow Terminals 123 London Underground,Piccadilly (different branches): 2 minutes
119,Heathrow Terminal 5,Heathrow Express to Piccadilly line: 5 minutes
120,Heron Quays,Interchange with Canary Wharf LU station: 5 minutes
121,Highbury & Islington,First Capital Connect to London Overground: 6 minutes
122,Highbury & Islington,First Capital Connect to Victoria: 4 minutes
123,Highbury & Islington,London Overground to Victoria: 6 minutes
124,Highbury & Islington,London Overground (different branches): 5 minutes
125,High Street Kensington,Circle to District: 4 minutes
126,High Street Kensington,District (different branches): 4 minutes
127,Hillingdon,Connections between Metropolitan and Piccadilly line: 4 minutes
128,Holborn,Central to Piccadilly: 6 minutes
129,Honor Oak Park,Connections between London Overground and Southern: 4 minutes
130,Ickenham,Connections between Metropolitan and Piccadilly line: 4 minutes
131,Imperial Wharf,London Overground to Southern: 5 minutes
132,Kennington,Connections between different branches: 2 minutes
133,Kensal Green,Connections between Bakerloo line and London Overground services: 5 minutes
134,Kensington,District to London Overground and National Rail: 3 minutes
