,station,interchange,line_from,line_to,duration
0,Acton Town,District <> Piccadilly line: 2 minutes,District,Piccadilly,2
1,Aldgate,Connections between Circle and Metropolitan line trains: 4 minutes,Circle,Metropolitan,4
2,Aldgate East,Connections between District and Hammersmith & City line trains: 2 minutes.,District,Hammersmith & City,2
3,Baker Street,Bakerloo to Circle: 8 minutes,Bakerloo,Circle,8
4,Baker Street,Bakerloo to Hammersmith & City: 8 minutes,Bakerloo,Hammersmith & City,8
5,Baker Street,Bakerloo to Jubilee: 2 minutes,Bakerloo,Jubilee,2
6,Baker Street,Bakerloo to Metropolitan: 3 minutes,Bakerloo,Metropolitan,3
7,Baker Street,Circle to Hammersmith & City: 2 minutes,Circle,Hammersmith & City,2
8,Baker Street,Circle to Jubilee: 8 minutes,Circle,Jubilee,8
9,Baker Street,Circle to Metropolitan: 8 minutes,Circle,Metropolitan,8
10,Baker Street,Hammersmith & City to Jubilee: 8 minutes,Hammersmith & City,Jubilee,8
11,Baker Street,Hammersmith & City to Metropolitan: 5 minutes,Hammersmith & City,Metropolitan,5
12,Baker Street,Jubilee to Metropolitan: 3 minutes,Jubilee,Metropolitan,3
13,Bank,Central to Circle: 7 minutes,Central,Circle,7
14,Bank,Central to District: 7 minutes,Central,District,7
15,Bank,Central to Northern: 4 minutes,Central,Northern,4
16,Bank,Central to Waterloo & City: 4.5 minutes,Central,Waterloo & City,4.5
17,Bank,Circle to Northern: 4 minutes,Circle,Northern,4
18,Bank,Circle to Waterloo & City: 10 minutes,Circle,Waterloo & City,10
19,Bank,District to Northern: 4 minutes,District,Northern,4
20,Bank,District to Waterloo & City: 10 minutes,District,Waterloo & City,10
21,Bank,Northern to Waterloo & City: 7 minutes,Northern,Waterloo & City,7
22,Barbican,Circle to Hammersmith & City: 2 minutes,Circle,Hammersmith & City,2
23,Barbican,Circle to Metropolitan: 2 minutes,Circle,Metropolitan,2
24,Barbican,Hammersmith & City to Metropolitan: 2 minutes,Hammersmith & City,Metropolitan,2
25,Barking,District to Hammersmith & City: 4 minutes,District,Hammersmith & City,4
26,Barking,C2C to London Overground: 4 minutes,,,4
27,Barons Court,Connections between District and Piccadilly line trains: 4 minutes,District,Piccadilly,4
28,Bayswater,Connections between Circle and District line trains: 4 minutes,Circle,District,4
29,Bond Street,Central to Jubilee: 4 minutes,Central,Jubilee,4
30,Bow Road,District to Hammersmith & City: 2 minutes,District,Hammersmith & City,2
31,Bromley By Bow,District to Hammersmith & City: 4 minutes,District,Hammersmith & City,4
32,Camden Town,Interchange between branches: 4 minutes,,,4
33,Canning Town,DLR between branches: 5 minutes,,,5
34,Cannon Street,Circle to District: 3 minutes,Circle,District,3
35,Charing Cross,Bakerloo to Northern: 7 minutes,Bakerloo,Northern,7
36,Ealing Broadway,Central to District: 4 minutes,Central,District,4
37,Ealing Common,Connections between District and Piccadilly line: 4 minutes,District,Piccadilly,4
38,Earls Court,Connections between District and Piccadilly line: 3 minutes (2 minutes between different District services),District,Piccadilly,3
39,Eastcote,Connections between Metropolitan and Piccadilly line: 4 minutes,Metropolitan,Piccadilly,4
40,East Ham,Connections between District and Hammersmith & City line: 4 minutes,District,Hammersmith & City,4
41,Edgware Road,"Connections between District, Hammersmith & City Circle line trains: 4 minutes",,,4
42,Embankment,Bakerloo to Circle: 5 minutes,Bakerloo,Circle,5
43,Embankment,Bakerloo to District: 5 minutes,Bakerloo,District,5
44,Embankment,Bakerloo to Northern: 5 minutes,Bakerloo,Northern,5
45,Embankment,Circle to District: 4 minutes,Circle,District,4
46,Embankment,Circle to Northern: 5 minutes,Circle,Northern,5
47,Embankment,District to Northern: 5 minutes,District,Northern,5
48,Euston,Northern to Victoria: 5 minutes,Northern,Victoria,5
49,Euston Square,"Connections between Metropolitan, Hammersmith & City, Circle line trains: 2 minutes",,,2
50,Farringdon,"Connections between Metropolitan, Hammersmith & City and Circle line trains: 4 minutes",,,4
51,Farringdon,"Connections between Metropolitan, Hammersmith & City and Circle line trains and First Capital Connect: 5 minutes",,,5
52,Finchley Central,Connections between High Barnet and trains terminating at Mill Hill East: 3 minutes,,,3
53,Finchley Road,Connections between Jubilee and Metropolitan line trains: 3 minutes,Jubilee,Metropolitan,3
54,Finsbury Park,Connections between Piccadilly and Victoria line trains: 4 minutes,Piccadilly,Victoria,4
55,Gloucester Road,Circle to District: 4 minutes,Circle,District,4
56,Gloucester Road,Circle to Piccadilly: 7 minutes,Circle,Piccadilly,7
57,Gloucester Road,District to Piccadilly: 7 minutes,District,Piccadilly,7
58,Great Portland Street,"Connections between Metropolitan, Hammersmith & City and Circle line trains: 4 minutes",,,4
59,Green Park,Jubilee to Piccadilly: 5.5 minutes,Jubilee,Piccadilly,5.5
60,Green Park,Jubilee to Victoria: 4.5 minutes,Jubilee,Victoria,4.5
61,Green Park,Piccadilly to Victoria: 4 minutes,Piccadilly,Victoria,4
62,Hammersmith,District to Piccadilly: 4 minutes,District,Piccadilly,4
63,Harrow & Wealdstone,London Overground to National Rail: 5 minutes,,,5
64,Highbury & Islington,First Capital Connect to London Overground: 6 minutes,,,6
65,Highbury & Islington,London Overground (different branches): 5 minutes,,,5
66,High Street Kensington,Circle to District: 4 minutes,Circle,District,4
67,Hillingdon,Connections between Metropolitan and Piccadilly line: 4 minutes,Metropolitan,Piccadilly,4
68,Holborn,Central to Piccadilly: 6 minutes,Central,Piccadilly,6
69,Ickenham,Connections between Metropolitan and Piccadilly line: 4 minutes,Metropolitan,Piccadilly,4
70,Kennington,Connections between different branches: 2 minutes,,,2
71,Kensington,London Overground to National Rail: 5 minutes,,,5
72,Kings Cross St Pancras,Circle to Hammersmith & City: 2 minutes,Circle,Hammersmith & City,2
