,Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
0,Abbey Road,539081,183352,51.53195199547294,0.0037233710983363,3,E15 3NB
1,Abbey Wood,547297,179002,51.49078429543708,0.1202719706406512,4,SE2 9RH
2,Acton Central,520613,180299,51.508757351253415,-0.2634301953256889,2,W3 6BH
3,Acton Main Line,520296,181196,51.516886495162936,-0.2676899480142479,3,W3 9EH
4,Acton Town,519457,179639,51.50307098636339,-0.280302696832724,3,W3 8HN
5,Addington Village,537082,163744,51.35623853949495,-0.032665100332062,"3,4,5,6",CR0 5AR
6,Addiscombe,534190,166290,51.37980817216768,-0.0732132825198676,"3,4,5,6",CR0 7AA
7,Albany Park,547903,172902,51.435815816166325,0.1264446387204615,5,DA5 3HP
8,Aldgate,533629,181246,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
9,Aldgate East,533809,181333,51.51508150569872,-0.0730014624207395,1,E1 7PT
10,Alexandra Palace,530300,190498,51.59826262860595,-0.1201489713608118,3,N22 7ST
11,All Saints,538012,180933,51.51047690641237,-0.0126248853603499,2,E14 0EH
12,Alperton,518025,183849,51.54120878643842,-0.2995157534755783,4,HA0 4LL
13,Amersham,496454,198181,51.67412832834268,-0.6065137678777907,9,HP6 5AZ
14,Ampere Way,530674,166476,51.38229921988808,-0.1236367984619069,"3,4,5,6",CR0 3JX
15,Anerley,534656,169942,51.41251661375114,-0.065137099879019,4,SE20 8PY
16,Angel,531497,183263,51.53296784539842,-0.1055814483037889,1,N1 8XB
17,Angel Road,535204,192202,51.61242024247581,-0.048732919239143,4,N18 3AY
18,Archway,529356,186827,51.56549031545965,-0.1351215756214728,"2,3",N19 5RQ
19,Arena,535192,167620,51.391522658988485,-0.0583185498869123,"3,4,5,6",SE25 4RY
20,Arnos Grove,529271,192471,51.61622992455143,-0.1342702177218493,4,N11 1AN
21,Arsenal,531429,186107,51.55854120559965,-0.1054999329611858,2,N5 1LP
22,Avenue Road,535764,169335,51.406797904315376,-0.0494469369736633,"3,4,5,6",BR3 4NJ
23,Baker Street,527965,182078,51.52312936605881,-0.1569041929861845,1,NW1 5LA
24,Balham,528482,173195,51.443182314397006,-0.1526851619932613,3,SW12 9SG
25,Bank,532704,181111,51.51334691914183,-0.0890001234943746,1,EC3V 3LA
26,Banstead,524590,160426,51.32929277590573,-0.2131323335412245,6,SM7 1RB
27,Barbican,532079,181859,51.52021512610784,-0.0977215780905022,1,EC1A 4JA
28,Barking,544405,184343,51.53952124839739,0.0808316104030654,4,IG11 8TU
29,Barking Riverside,546824,182141,51.5191121613515,0.1147694827017245,4,IG11 0BF
30,Barkingside,544788,189510,51.58585076146283,0.0884766401059262,4,IG6 1NB
31,Barnehurst,550206,176193,51.46478055332626,0.1609480239468846,6,DA7 6HQ
32,Barnes,522209,175705,51.46712737869088,-0.2420330586249543,3,SW13 0LW
33,Barnes Bridge,521478,176255,51.4722276417547,-0.2523626133311692,3,SW13 0NR
34,Barons Court,524133,178322,51.490228334902,-0.2134301424178916,2,W14 9DP
35,Battersea Park,528703,176999,51.47731808303144,-0.1481237603927114,2,SW8 4NB
36,Battersea Power Station,529122,177252,51.479496343757326,-0.1420013513646783,1,SW11 8AL
37,Bayswater,525845,180799,51.51211098317958,-0.1879015718782054,1,W2 4QH
38,Beckenham Hill,538002,171379,51.42462603356409,-0.0164957619689126,4,SE6 3NU
